,propertyid,type,address,bedroom,bathroom,area ( Sq. Yd.),purpose,price
467,43740196,House,"Oak Residency, Malir, Karachi, Sindh",3,4,120,For Sale,25000000
661,40276421,House,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",5,7,375,For Sale,62000000
285,44682625,House,"DHA Defence, Karachi, Sindh",5,6,1000,For Rent,500000
672,44569895,Flat,"Ittehad Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",3,3,200,For Sale,34000000
557,44945793,Flat,"Saima Jinnah Avenue, Malir, Karachi, Sindh",2,3,144,For Sale,21500000
642,43935984,Flat,"Cosmopolitan Society, Karachi, Sindh",3,3,167,For Sale,31000000
15,29210681,House,"Malir, Karachi, Sindh",4,5,350,For Rent,140000
533,45139710,House,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,152,For Sale,16000000
271,44643470,House,"DHA Defence, Karachi, Sindh",6,6,500,For Rent,350000
6,21441862,Flat,"Bath Island, Karachi, Sindh",3,4,256,For Rent,150000
623,43558300,Flat,"Muslim Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",4,2,56,For Sale,5600000
71,42720109,House,"Clifton, Karachi, Sindh",4,4,250,For Rent,190000
413,44838230,House,"Bahria Town Karachi, Karachi, Sindh",3,3,235,For Rent,28000
428,44840525,Flat,"Bahria Town Karachi, Karachi, Sindh",3,3,283,For Rent,48000
330,44768906,House,"DHA Defence, Karachi, Sindh",3,4,100,For Rent,140000
317,44740023,Flat,"DHA Defence, Karachi, Sindh",2,2,100,For Rent,42000
104,43659414,House,"DHA Defence, Karachi, Sindh",5,6,1000,For Rent,600000
652,45154935,House,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",3,4,235,For Sale,16000000
188,44328876,Flat,"DHA Defence, Karachi, Sindh",2,2,111,For Rent,95000
476,44782168,Flat,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",3,4,300,For Sale,39000000
628,43790000,Flat,"Korangi, Karachi, Sindh",2,2,83,For Sale,3700000
403,44837371,Flat,"DHA Defence, Karachi, Sindh",0,2,56,For Rent,45000
230,44517526,Flat,"DHA Defence, Karachi, Sindh",3,3,244,For Rent,80000
395,44837201,Upper Portion,"North Karachi, Karachi, Sindh",2,3,120,For Rent,29000
90,43489686,Flat,"Scheme 33, Karachi, Sindh",2,2,83,For Rent,22000
622,44819457,House,"PECHS Block 3, PECHS, Jamshed Town, Karachi, Sindh",5,5,225,For Sale,90000000
409,44837881,Upper Portion,"Federal B Area, Karachi, Sindh",4,5,400,For Rent,129000
369,44834439,Flat,"DHA Defence, Karachi, Sindh",2,2,50,For Rent,27000
401,44837345,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,94,For Rent,34000
218,44482965,House,"DHA Defence, Karachi, Sindh",4,5,500,For Rent,365000
535,45138560,House,"Askari 6, Malir Cantonment, Cantt, Karachi, Sindh",5,5,375,For Sale,62000000
278,44669368,Flat,"DHA Defence, Karachi, Sindh",3,4,278,For Rent,175000
205,44440123,Flat,"Clifton, Karachi, Sindh",3,3,178,For Rent,80000
358,44811849,Flat,"DHA Defence, Karachi, Sindh",0,2,50,For Rent,50000
190,44349624,Flat,"North Karachi, Karachi, Sindh",2,2,100,For Rent,24000
452,45141057,House,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",6,6,240,For Sale,47000000
350,44797203,House,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,6,350,For Rent,250000
194,44376708,House,"Cantt, Karachi, Sindh",5,5,500,For Rent,160000
457,44777993,Flat,"Emaar Coral Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,237,For Sale,52500000
132,43931793,House,"Malir, Karachi, Sindh",3,3,120,For Rent,50000
233,44532100,Upper Portion,"DHA Defence, Karachi, Sindh",3,3,1000,For Rent,275000
173,44250322,Flat,"Khalid Bin Walid Road, Karachi, Sindh",3,3,200,For Rent,110000
178,44305129,Flat,"Tariq Road, Karachi, Sindh",4,5,250,For Rent,160000
699,40601944,House,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",5,5,375,For Sale,62000000
547,40427647,House,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",4,5,120,For Sale,26000000
206,44441677,Upper Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,150000
96,43555155,Flat,"Clifton, Karachi, Sindh",3,4,311,For Rent,210000
620,26583041,Flat,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,122,For Sale,15000000
310,44729265,House,"DHA Defence, Karachi, Sindh",4,5,120,For Rent,175000
404,44837377,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,2,240,For Rent,52000
89,43488643,House,"DHA Defence, Karachi, Sindh",4,5,500,For Rent,210000
374,44835241,House,"DHA Defence, Karachi, Sindh",6,6,1000,For Rent,250000
179,44312155,Lower Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,120,For Rent,36000
0,17106827,Flat,"Frere Town, Karachi, Sindh",3,4,222,For Rent,110000
46,41523408,Flat,"DHA Defence, Karachi, Sindh",2,2,100,For Rent,45000
171,44247793,Flat,"Bahria Town Karachi, Karachi, Sindh",2,2,106,For Rent,28000
576,44945817,House,"Saima Jinnah Avenue, Malir, Karachi, Sindh",3,4,244,For Sale,32000000
462,45139693,House,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,200,For Sale,18500000
107,43683346,Flat,"DHA Defence, Karachi, Sindh",3,5,272,For Rent,190000
133,43964010,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,3,120,For Rent,30000
615,45154934,House,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,4,200,For Sale,17000000
223,44490945,Flat,"DHA Defence, Karachi, Sindh",3,5,243,For Rent,190000
416,44838278,House,"Bahria Town Karachi, Karachi, Sindh",4,4,350,For Rent,35000
102,43637681,House,"DHA Defence, Karachi, Sindh",6,6,500,For Rent,400000
108,43697809,Upper Portion,"Clifton, Karachi, Sindh",3,3,200,For Rent,140000
213,44470778,Flat,"DHA Defence, Karachi, Sindh",2,4,180,For Rent,180000
447,44107797,Flat,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,3,181,For Sale,60000000
302,44703528,House,"DHA Defence, Karachi, Sindh",6,6,1000,For Rent,1000000
246,44559457,Flat,"Korangi, Karachi, Sindh",3,2,120,For Rent,27000
436,45138793,House,"DHA Phase 2, DHA Defence, Karachi, Sindh",3,3,1000,For Sale,165000000
386,44837037,Lower Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,110000
125,43879460,House,"Malir, Karachi, Sindh",4,5,350,For Rent,140000
415,44838241,House,"Bahria Town Karachi, Karachi, Sindh",3,3,235,For Rent,27000
520,45139711,House,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",4,4,350,For Sale,22000000
417,44839386,House,"Gadap Town, Karachi, Sindh",4,4,120,For Rent,45000
584,42003111,Flat,"Rahat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",3,4,233,For Sale,23500000
224,44501285,Flat,"DHA Defence, Karachi, Sindh",3,5,214,For Rent,350000
26,39533367,Flat,"DHA Defence, Karachi, Sindh",4,6,328,For Rent,338000
422,44840227,House,"Gadap Town, Karachi, Sindh",2,3,120,For Rent,32000
508,45139728,House,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152,For Sale,21500000
484,44327788,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500,For Sale,107500000
3,20410232,House,"Zamzama, Karachi, Sindh",4,4,350,For Rent,500000
134,43974990,House,"DHA Defence, Karachi, Sindh",4,4,100,For Rent,100000
333,44773773,House,"DHA Defence, Karachi, Sindh",6,6,500,For Rent,310000
186,44323628,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,172,For Rent,60000
585,45152618,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",4,4,300,For Sale,75000000
295,44695163,Lower Portion,"DHA Defence, Karachi, Sindh",2,2,300,For Rent,110000
604,45152603,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500,For Sale,130000000
536,45139623,Flat,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",2,2,106,For Sale,7500000
570,44960743,House,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar, Karachi, Sindh",6,6,240,For Sale,54000000
650,45152078,House,"North Nazimabad - Block N, North Nazimabad, Karachi, Sindh",6,6,400,For Sale,55000000
225,44502556,Flat,"DHA Defence, Karachi, Sindh",2,2,100,For Rent,50000
591,44273939,Flat,"Lateef Duplex Luxuria, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",4,5,300,For Sale,22000000
391,44837169,Flat,"Scheme 33, Karachi, Sindh",2,2,72,For Rent,20000
483,44327856,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500,For Sale,125000000
482,45139692,House,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",3,3,200,For Sale,18500000
690,45152074,Flat,"North Nazimabad - Block L, North Nazimabad, Karachi, Sindh",2,2,106,For Sale,8000000
473,45139626,Flat,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",3,3,250,For Sale,20000000
470,45139718,House,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152,For Sale,21000000
399,44837257,House,"Gadap Town, Karachi, Sindh",2,2,120,For Rent,26000
688,45152079,House,"North Nazimabad - Block N, North Nazimabad, Karachi, Sindh",6,6,600,For Sale,65000000
112,43726960,House,"Cantt, Karachi, Sindh",5,6,375,For Rent,145000
426,44840420,House,"Bahria Town Karachi, Karachi, Sindh",5,5,500,For Rent,115000
506,45138812,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
20,34074312,Flat,"Cantt, Karachi, Sindh",3,3,178,For Rent,62000
65,42571053,House,"Jamshed Town, Karachi, Sindh",0,0,275,For Rent,310000
298,44695892,House,"Defence View Society, Karachi, Sindh",3,3,120,For Rent,110000
126,43889612,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,94,For Rent,35000
259,44617401,Flat,"Sea View Apartments, Karachi, Sindh",3,3,333,For Rent,190000
701,44766140,Flat,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar, Karachi, Sindh",2,2,72,For Sale,7000000
364,44830912,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",2,2,106,For Rent,28000
339,44782641,Flat,"Cantt, Karachi, Sindh",3,4,300,For Rent,85000
605,43676030,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500,For Sale,110000000
137,43980175,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,156,For Rent,70000
458,45066197,House,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",4,4,350,For Sale,21000000
7,21551880,Flat,"Bath Island, Karachi, Sindh",4,5,300,For Rent,160000
342,44785163,Flat,"DHA Defence, Karachi, Sindh",2,3,182,For Rent,175000
663,45153167,Flat,"PECHS Block 6, PECHS, Jamshed Town, Karachi, Sindh",3,3,200,For Sale,45000000
309,44728607,Upper Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,170000
