,propertyid,type,address,bedroom,bathroom,area ( Sq. Yd.),purpose,price
569,44367591,House,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",6,6,240,For Sale,49000000
120,43824609,Upper Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,135000
81,43248540,Upper Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,140000
709,39014099,House,"Clifton - Block 8, Clifton, Karachi, Sindh",4,5,350,For Sale,87500000
13,26021470,Flat,"Clifton, Karachi, Sindh",4,4,278,For Rent,160000
439,45138819,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
700,41780553,House,"Rufi Greenland, Scheme 33, Karachi, Sindh",6,8,200,For Sale,30000000
693,45152073,Flat,"North Nazimabad - Block L, North Nazimabad, Karachi, Sindh",3,3,150,For Sale,10200000
160,44188469,Flat,"DHA Defence, Karachi, Sindh",4,4,356,For Rent,250000
708,45031579,House,"Falcon Complex New Malir, Malir, Karachi, Sindh",5,6,500,For Sale,117500000
238,44540861,House,"DHA Defence, Karachi, Sindh",5,6,350,For Rent,190000
379,44835555,House,"Bahria Town Karachi, Karachi, Sindh",3,3,152,For Rent,45000
466,45138370,Upper Portion,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar, Karachi, Sindh",3,3,160,For Sale,13500000
509,45138791,House,"DHA Phase 2, DHA Defence, Karachi, Sindh",3,3,1000,For Sale,165000000
440,45138818,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
516,45139716,House,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",3,3,235,For Sale,17500000
541,44069871,Flat,"Rafi Premier Residency, Scheme 33, Karachi, Sindh",3,2,161,For Sale,14500000
195,44400558,House,"KDA Scheme 1 Extension, Karachi, Sindh",11,6,700,For Rent,650000
191,44349773,Lower Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,100000
116,43787564,House,"DHA Defence, Karachi, Sindh",6,6,1000,For Rent,900000
706,45041985,House,"Bagh-e-Malir, Shah Faisal Town, Karachi, Sindh",4,4,80,For Sale,14000000
592,43761370,Flat,"Shaheed Millat Road, Karachi, Sindh",4,4,222,For Sale,42500000
164,44200411,Flat,"Clifton, Karachi, Sindh",3,3,167,For Rent,160000
106,43665147,House,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,6,350,For Rent,250000
16,30657070,Flat,"Clifton, Karachi, Sindh",4,5,400,For Rent,220000
63,42548024,House,"Malir, Karachi, Sindh",5,5,500,For Rent,165000
384,44836839,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,144,For Rent,45000
669,44569783,Flat,"Ittehad Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",3,3,200,For Sale,34000000
105,43659887,Flat,"Clifton, Karachi, Sindh",3,4,222,For Rent,150000
513,45138362,Flat,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar, Karachi, Sindh",3,3,78,For Sale,4000000
680,44937926,Lower Portion,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",3,3,300,For Sale,19500000
329,44768095,Flat,"Bath Island, Karachi, Sindh",4,5,267,For Rent,200000
345,44790597,Flat,"DHA Defence, Karachi, Sindh",2,2,222,For Rent,350000
631,43961440,Flat,"Korangi Industrial Area, Korangi, Karachi, Sindh",2,2,83,For Sale,3800000
405,44837385,Lower Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,120,For Rent,45000
538,44417617,Flat,"Sanober Twin Tower, Saadi Road, Karachi, Sindh",2,3,133,For Sale,8500000
93,43548839,House,"Scheme 33, Karachi, Sindh",3,4,400,For Rent,70000
534,45138794,House,"DHA Phase 2, DHA Defence, Karachi, Sindh",3,3,1000,For Sale,165000000
433,44841166,Upper Portion,"North Nazimabad, Karachi, Sindh",3,3,200,For Rent,58000
83,43281296,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,4,400,For Rent,95000
634,45153778,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",4,5,425,For Sale,90000000
348,44793912,Lower Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,200000
561,44257255,Flat,"Noman Residencia, Scheme 33, Karachi, Sindh",2,2,122,For Sale,9800000
455,44753128,Flat,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,3,300,For Sale,93000000
198,44407629,Flat,"Clifton, Karachi, Sindh",3,4,244,For Rent,170000
145,44064936,Flat,"Clifton, Karachi, Sindh",3,3,200,For Rent,140000
414,44838236,Flat,"Scheme 33, Karachi, Sindh",3,4,189,For Rent,50000
150,44136714,Flat,"Defence View Society, Karachi, Sindh",3,4,189,For Rent,75000
522,45139714,House,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",3,3,200,For Sale,18500000
39,40877287,House,"Malir, Karachi, Sindh",5,5,500,For Rent,168000
530,45138809,Flat,"University Road, Karachi, Sindh",3,3,87,For Sale,9000000
578,43976268,Flat,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi, Sindh",3,3,167,For Sale,16000000
660,43942635,House,"Navy Housing Scheme Karsaz - Phase 2, Navy Housing Scheme Karsaz, Karachi, Sindh",6,6,500,For Sale,230000000
556,43702938,Flat,"Scheme 33, Karachi, Sindh",2,2,100,For Sale,5000000
322,44752231,Flat,"DHA Defence, Karachi, Sindh",2,4,180,For Rent,180000
253,44597374,Flat,"DHA Defence, Karachi, Sindh",2,3,182,For Rent,140000
646,45152432,Flat,"Noman Residencia, Scheme 33, Karachi, Sindh",2,2,122,For Sale,8000000
527,45139628,Flat,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",2,2,106,For Sale,8500000
710,44305680,House,"Al-Hilal Society, Karachi, Sindh",8,6,200,For Sale,55000000
357,44811809,House,"Bahria Town Karachi, Karachi, Sindh",3,3,200,For Rent,60000
69,42700836,Flat,"Cantt, Karachi, Sindh",3,3,300,For Rent,90000
2,20039912,Flat,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,7,467,For Rent,225000
340,44782822,Flat,"Cantt, Karachi, Sindh",3,4,300,For Rent,90000
221,44484332,Upper Portion,"Cantt, Karachi, Sindh",4,4,400,For Rent,100000
674,45154222,Upper Portion,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",3,3,189,For Sale,36000000
146,44100519,House,"DHA Defence, Karachi, Sindh",6,6,1000,For Rent,700000
289,44687302,Flat,"Bahria Town Karachi, Karachi, Sindh",2,2,106,For Rent,25000
241,44548538,Flat,"DHA Defence, Karachi, Sindh",3,4,311,For Rent,170000
29,39898377,Flat,"DHA Defence, Karachi, Sindh",3,4,411,For Rent,225000
595,44149307,Flat,"Amil Colony, Karachi, Sindh",4,4,211,For Sale,42500000
114,43775834,Upper Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,135000
511,43958909,Flat,"Scheme 33, Karachi, Sindh",4,4,300,For Sale,22500000
717,45152908,House,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",3,3,125,For Sale,15000000
582,43916166,Flat,"Korangi Road, Korangi, Karachi, Sindh",2,2,83,For Sale,3700000
621,45152538,House,"North Karachi - Sector 11-C/2, North Karachi, Karachi, Sindh",6,6,170,For Sale,27500000
176,44289458,House,"Malir, Karachi, Sindh",2,2,120,For Rent,40000
636,40402866,House,"DHA Phase 4, DHA Defence, Karachi, Sindh",6,6,300,For Sale,70000000
372,44835073,Flat,"Clifton, Karachi, Sindh",3,3,200,For Rent,65000
168,44236729,Lower Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,225000
347,44793709,House,"DHA Defence, Karachi, Sindh",7,6,1000,For Rent,1000000
376,44835386,House,"Bahria Town Karachi, Karachi, Sindh",3,3,200,For Rent,40000
548,43706333,House,"Garden East, Jamshed Town, Karachi, Sindh",5,5,160,For Sale,52500000
632,44026874,Flat,"Korangi, Karachi, Sindh",2,2,83,For Sale,3700000
671,44569841,Flat,"Ittehad Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",3,3,200,For Sale,34000000
601,44840950,House,"Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",5,5,500,For Sale,46000000
189,44331713,House,"DHA Defence, Karachi, Sindh",4,4,300,For Rent,230000
136,43979031,House,"DHA Defence, Karachi, Sindh",4,4,500,For Rent,250000
446,43059392,Flat,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,3,389,For Sale,150000000
607,44030258,Flat,"North Karachi, Karachi, Sindh",2,2,70,For Sale,3500000
254,44601948,Flat,"Jamshed Town, Karachi, Sindh",3,3,139,For Rent,60000
651,44241519,Flat,"Shaheed Millat Road, Karachi, Sindh",2,2,111,For Sale,16500000
290,44687331,House,"Bahria Town Karachi, Karachi, Sindh",3,3,200,For Rent,36000
682,45152268,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,1000,For Sale,205000000
612,43892113,Flat,"Muslim Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",2,3,111,For Sale,9500000
232,44530360,Room,"DHA Defence, Karachi, Sindh",1,1,72,For Rent,50000
33,40227374,House,"Malir, Karachi, Sindh",2,3,500,For Rent,160000
88,43479993,Flat,"Shaheed Millat Road, Karachi, Sindh",4,4,267,For Rent,185000
44,41240217,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,178,For Rent,46000
341,44782842,House,"Malir, Karachi, Sindh",3,3,120,For Rent,50000
61,42427496,House,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,350,For Rent,250000
692,45152071,Flat,"North Nazimabad - Block M, North Nazimabad, Karachi, Sindh",3,3,161,For Sale,14000000
199,44417555,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",4,5,267,For Rent,72500
429,44840557,Flat,"Bahria Town Karachi, Karachi, Sindh",4,4,400,For Rent,70000
394,44837198,Flat,"Gadap Town, Karachi, Sindh",2,2,83,For Rent,18000
297,44695709,House,"DHA Defence, Karachi, Sindh",4,4,300,For Rent,250000
73,42795894,House,"DHA Defence, Karachi, Sindh",4,5,1000,For Rent,400000
393,44837183,Upper Portion,"Scheme 33, Karachi, Sindh",3,3,240,For Rent,50000
618,27359086,Flat,"Federal B Area - Block 8, Federal B Area, Karachi, Sindh",3,4,178,For Sale,16000000
602,45152504,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500,For Sale,155000000
608,43290512,House,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",7,8,600,For Sale,75000000
217,44481324,Upper Portion,"DHA Defence, Karachi, Sindh",3,5,1500,For Rent,180000
539,37432347,Flat,"Falaknaz Presidency, Malir, Karachi, Sindh",2,2,83,For Sale,6600000
597,45154877,House,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",6,6,400,For Sale,58500000
421,44840167,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,4,244,For Rent,75000
138,43999011,House,"DHA Defence, Karachi, Sindh",5,6,500,For Rent,600000
212,44464086,House,"Bahria Town Karachi, Karachi, Sindh",3,3,125,For Rent,30000
609,44411298,House,"Shaheed Millat Road, Karachi, Sindh",6,6,302,For Sale,90000000
638,41776043,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,666,For Sale,170000000
664,42951138,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",4,5,300,For Sale,79000000
234,44533749,Flat,"Scheme 33, Karachi, Sindh",2,2,83,For Rent,23000
67,42604606,Flat,"Rashid Minhas Road, Karachi, Sindh",4,5,222,For Rent,110000
24,38509624,Flat,"DHA Defence, Karachi, Sindh",4,4,407,For Rent,300000
381,44835906,Upper Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,170000
216,44474295,House,"Cantt, Karachi, Sindh",5,5,375,For Rent,150000
129,43912783,House,"DHA Defence, Karachi, Sindh",5,5,500,For Rent,220000
349,44796421,Flat,"DHA Defence, Karachi, Sindh",2,2,100,For Rent,35010
111,43726886,House,"Cantt, Karachi, Sindh",5,6,375,For Rent,145000
166,44210444,Upper Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,160000
207,44454340,Upper Portion,"DHA Defence, Karachi, Sindh",3,4,200,For Rent,120000
438,45140740,House,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",4,5,120,For Sale,25500000
552,44906878,Flat,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar, Karachi, Sindh",2,2,111,For Sale,8800000
274,44651147,House,"Bahria Town Karachi, Karachi, Sindh",3,3,200,For Rent,35000
614,37459267,Flat,"Clifton - Block 2, Clifton, Karachi, Sindh",3,3,200,For Sale,21000000
577,36305040,Flat,"Saima Jinnah Avenue, Malir, Karachi, Sindh",3,4,250,For Sale,31000000
525,45139713,House,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,200,For Sale,23500000
287,44683933,Flat,"Bahria Town Karachi, Karachi, Sindh",2,2,122,For Rent,28000
469,43697031,Flat,"Shahra-e-Faisal, Karachi, Sindh",3,3,189,For Sale,22500000
326,44762259,Flat,"Clifton, Karachi, Sindh",3,3,222,For Rent,92000
121,43835391,Upper Portion,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,170,For Rent,50000
507,45138340,Flat,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar, Karachi, Sindh",3,3,106,For Sale,7000000
228,44507680,House,"DHA Defence, Karachi, Sindh",7,8,1000,For Rent,650000
445,44274178,Flat,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,3,182,For Sale,57500000
117,43789706,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,3,100,For Rent,35000
464,45138815,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
25,38807290,Flat,"DHA Defence, Karachi, Sindh",2,3,178,For Rent,150000
110,43726708,Flat,"Clifton, Karachi, Sindh",3,3,133,For Rent,160000
149,44120614,Flat,"Malir, Karachi, Sindh",3,4,244,For Rent,76000
152,44146174,Flat,"Tariq Road, Karachi, Sindh",2,3,139,For Rent,90000
528,45138821,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
461,45138803,Flat,"University Road, Karachi, Sindh",3,3,87,For Sale,9000000
139,43999079,Upper Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,170000
260,44617947,Flat,"DHA Defence, Karachi, Sindh",2,2,50,For Rent,70000
323,44754401,Upper Portion,"DHA Defence, Karachi, Sindh",3,3,1000,For Rent,158000
649,40441770,Flat,"Muslim Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",4,2,56,For Sale,6500000
248,44576727,Upper Portion,"Jamshed Town, Karachi, Sindh",2,2,100,For Rent,60000
450,45139705,House,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",3,3,235,For Sale,17000000
410,44837902,Lower Portion,"Federal B Area, Karachi, Sindh",0,0,500,For Rent,145000
19,34013868,Flat,"Old Clifton, Karachi, Sindh",3,5,311,For Rent,270000
328,44767783,Flat,"Clifton, Karachi, Sindh",4,5,300,For Rent,185000
296,44695503,Upper Portion,"DHA Defence, Karachi, Sindh",4,4,500,For Rent,150000
269,44641564,Upper Portion,"North Karachi, Karachi, Sindh",2,2,120,For Rent,19000
226,44504438,Lower Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,240,For Rent,85000
94,43553870,Flat,"Cantt, Karachi, Sindh",3,4,289,For Rent,80000
515,45139702,House,"Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",5,5,500,For Sale,49000000
280,44671844,Lower Portion,"Jamshed Town, Karachi, Sindh",3,3,200,For Rent,125000
286,44683321,Flat,"DHA Defence, Karachi, Sindh",3,4,128,For Rent,60000
589,44663177,Flat,"Gulistan-e-Jauhar - Block 10, Gulistan-e-Jauhar, Karachi, Sindh",4,4,300,For Sale,18500000
722,44456601,House,"North Karachi, Karachi, Sindh",6,4,100,For Sale,11000000
444,45065732,House,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152,For Sale,19000000
184,44323614,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,178,For Rent,60000
371,44835064,House,"Malir, Karachi, Sindh",3,3,120,For Rent,50000
656,45152955,House,"Anwar-e-Ibrahim, Malir, Karachi, Sindh",6,5,80,For Sale,11000000
704,43675337,Flat,"Sehar Commercial Area, DHA Phase 7, DHA Defence, Karachi, Sindh",3,3,122,For Sale,16000000
275,44655636,Flat,"Malir, Karachi, Sindh",3,4,244,For Rent,76000
678,45154966,Flat,"North Town Residency, Surjani Town, Gadap Town, Karachi, Sindh",2,2,70,For Sale,3500000
182,44323607,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,178,For Rent,60000
32,40108425,Flat,"Clifton, Karachi, Sindh",3,3,161,For Rent,90000
80,43238309,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,156,For Rent,64000
307,44721612,Upper Portion,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,200,For Rent,57500
11,24749065,Flat,"Clifton, Karachi, Sindh",4,5,289,For Rent,185000
43,41233310,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",2,2,106,For Rent,32000
86,43381161,Upper Portion,"Gadap Town, Karachi, Sindh",2,3,120,For Rent,23000
36,40574559,Upper Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,140000
58,42229910,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,4,240,For Rent,60000
41,40931409,House,"DHA Defence, Karachi, Sindh",6,7,666,For Rent,500000
411,44837979,Flat,"DHA Defence, Karachi, Sindh",0,2,50,For Rent,28000
562,43473050,Flat,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",2,2,122,For Sale,14500000
209,44462462,Flat,"DHA Defence, Karachi, Sindh",2,3,183,For Rent,210000
148,44111236,Flat,"Clifton, Karachi, Sindh",2,2,128,For Rent,100000
594,44770398,Flat,"Creek Vista, DHA Phase 8, DHA Defence, Karachi, Sindh",4,5,418,For Sale,82500000
123,43846378,House,"Malir, Karachi, Sindh",5,5,500,For Rent,175000
574,45155001,Flat,"North Nazimabad - Block H, North Nazimabad, Karachi, Sindh",2,2,111,For Sale,14000000
98,43603689,House,"DHA Defence, Karachi, Sindh",3,3,100,For Rent,120000
377,44835393,House,"Bahria Town Karachi, Karachi, Sindh",3,3,200,For Rent,39000
130,43913412,House,"DHA Defence, Karachi, Sindh",5,6,500,For Rent,225000
23,37851829,House,"Zamzama, Karachi, Sindh",5,5,1600,For Rent,1500000
630,43916123,Flat,"Korangi, Karachi, Sindh",2,2,83,For Sale,3800000
555,45152108,Flat,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,106,For Sale,7300000
370,44834828,House,"Bahria Town Karachi, Karachi, Sindh",3,4,200,For Rent,30000
512,45138333,Flat,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi, Sindh",3,3,144,For Sale,11000000
383,44836787,Flat,"Clifton, Karachi, Sindh",3,3,183,For Rent,80000
201,44428833,Flat,"Federal B Area, Karachi, Sindh",2,2,83,For Rent,30000
368,44833594,House,"Bahria Town Karachi, Karachi, Sindh",3,3,125,For Rent,30000
554,44608784,Flat,"Korangi Creek Cantonment, Korangi, Karachi, Sindh",2,2,83,For Sale,3700000
610,45152080,House,"North Nazimabad - Block D, North Nazimabad, Karachi, Sindh",6,6,200,For Sale,55000000
387,44837082,Lower Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,100000
292,44689410,Flat,"Defence View Society, Karachi, Sindh",2,2,89,For Rent,27000
256,44607242,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,240,For Rent,80000
606,45152536,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500,For Sale,105000000
197,44407607,House,"DHA Defence, Karachi, Sindh",4,4,250,For Rent,210000
95,43553872,Flat,"Cantt, Karachi, Sindh",3,4,289,For Rent,80000
697,45152801,House,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",3,3,235,For Sale,17000000
169,44237676,Upper Portion,"North Nazimabad, Karachi, Sindh",2,2,200,For Rent,45000
581,43386242,Flat,"Garden West, Karachi, Sindh",3,3,128,For Sale,13500000
305,44718708,House,"DHA Defence, Karachi, Sindh",4,5,500,For Rent,250000
560,44962890,Flat,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar, Karachi, Sindh",2,2,111,For Sale,8500000
373,44835137,Flat,"Clifton, Karachi, Sindh",3,3,200,For Rent,70000
227,44506440,Upper Portion,"Jamshed Town, Karachi, Sindh",3,3,150,For Rent,70000
143,44027664,Lower Portion,"Jamshed Town, Karachi, Sindh",4,4,250,For Rent,175000
180,44322988,Flat,"Clifton, Karachi, Sindh",3,3,200,For Rent,65000
131,43919541,House,"Jamshed Town, Karachi, Sindh",10,5,1000,For Rent,1000000
689,45152083,House,"North Nazimabad - Block I, North Nazimabad, Karachi, Sindh",7,4,600,For Sale,90000000
47,41524620,Flat,"Clifton, Karachi, Sindh",3,3,222,For Rent,175000
324,44756612,House,"DHA Defence, Karachi, Sindh",5,6,500,For Rent,450000
203,44431824,Flat,"Bath Island, Karachi, Sindh",2,2,133,For Rent,60000
84,43324159,House,"DHA Defence, Karachi, Sindh",5,6,1000,For Rent,600000
633,45154985,Flat,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,78,For Sale,5000000
565,45154933,House,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",3,4,200,For Sale,17000000
611,44714256,Flat,"Clifton - Block 3, Clifton, Karachi, Sindh",3,3,200,For Sale,27500000
398,44837251,House,"Gadap Town, Karachi, Sindh",2,2,120,For Rent,24000
91,43511657,Flat,"DHA Defence, Karachi, Sindh",3,3,144,For Rent,90000
82,43249334,Flat,"DHA Defence, Karachi, Sindh",2,3,182,For Rent,175000
430,44840781,House,"DHA Defence, Karachi, Sindh",6,6,666,For Rent,250000
119,43824510,Lower Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,150000
291,44687338,House,"Bahria Town Karachi, Karachi, Sindh",3,3,150,For Rent,50000
57,42140507,Flat,"Hill Park, Karachi, Sindh",3,0,161,For Rent,95000
321,44751858,Flat,"DHA Defence, Karachi, Sindh",3,5,233,For Rent,280000
257,44614792,Flat,"Bahria Town Karachi, Karachi, Sindh",2,2,122,For Rent,28000
687,45152093,House,"Naya Nazimabad - Block C, Naya Nazimabad, Karachi, Sindh",6,6,240,For Sale,46000000
442,45138324,Flat,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi, Sindh",3,3,144,For Sale,11000000
42,41219853,Flat,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,511,For Rent,195000
617,39093704,Flat,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,133,For Sale,16000000
388,44837087,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,161,For Rent,65000
335,44774711,Flat,"DHA Defence, Karachi, Sindh",3,4,243,For Rent,180000
273,44650890,House,"Bahria Town Karachi, Karachi, Sindh",3,3,200,For Rent,38000
488,45138804,Flat,"University Road, Karachi, Sindh",3,3,87,For Sale,9000000
550,45153751,Flat,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar, Karachi, Sindh",2,3,167,For Sale,13000000
53,41651414,Flat,"DHA Defence, Karachi, Sindh",2,2,111,For Rent,60000
679,45152894,Flat,"DHA Defence, Karachi, Sindh",2,2,106,For Sale,11000000
128,43907972,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,120,For Rent,45000
28,39867407,Flat,"DHA Defence, Karachi, Sindh",3,3,133,For Rent,110000
183,44323611,Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,172,For Rent,60000
459,42163035,House,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",5,5,375,For Sale,69500000
510,44106757,Flat,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,3,182,For Sale,44000000
675,45154332,Upper Portion,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",4,4,200,For Sale,47500000
151,44138468,Flat,"Bath Island, Karachi, Sindh",4,4,278,For Rent,195000
244,44554058,House,"DHA Defence, Karachi, Sindh",5,5,649,For Rent,625000
543,45154737,Upper Portion,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,120,For Sale,15000000
544,44571323,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,1000,For Sale,250000000
639,45152067,House,"North Nazimabad - Block I, North Nazimabad, Karachi, Sindh",6,6,200,For Sale,36000000
265,44635153,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",0,0,250,For Rent,125000
288,44685780,House,"DHA Defence, Karachi, Sindh",5,5,500,For Rent,370000
423,44840268,Flat,"Cantt, Karachi, Sindh",4,5,333,For Rent,115000
147,44110886,House,"DHA Defence, Karachi, Sindh",4,5,300,For Rent,200000
659,45152075,Flat,"North Nazimabad - Block K, North Nazimabad, Karachi, Sindh",2,2,106,For Sale,6500000
177,44302054,Flat,"Nazimabad, Karachi, Sindh",3,3,108,For Rent,28000
99,43627905,Flat,"Scheme 33, Karachi, Sindh",2,2,117,For Rent,27000
448,44752861,Flat,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,3,182,For Sale,64000000
431,44840797,Flat,"North Nazimabad, Karachi, Sindh",2,2,94,For Rent,30000
115,43783392,House,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,350,For Rent,260000
72,42764667,Upper Portion,"DHA Defence, Karachi, Sindh",4,5,666,For Rent,140000
537,45139712,House,"Bahria Paradise, Bahria Town Karachi, Karachi, Sindh",5,5,500,For Sale,48000000
677,45154236,Upper Portion,"PECHS, Jamshed Town, Karachi, Sindh",3,3,189,For Sale,37500000
711,45152069,House,"Shadman Town - Sector-14/B, Shadman, North Nazimabad, Karachi, Sindh",6,6,120,For Sale,24000000
174,44252085,Flat,"Khalid Bin Walid Road, Karachi, Sindh",3,4,200,For Rent,125000
87,43412998,Upper Portion,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,450,For Rent,75000
551,45152772,Flat,"Amil Colony, Karachi, Sindh",4,4,183,For Sale,36500000
486,44333119,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,3,120,For Sale,58000000
705,45152671,House,"DHA Phase 4, DHA Defence, Karachi, Sindh",5,5,500,For Sale,135000000
314,44736760,House,"DHA Defence, Karachi, Sindh",4,4,560,For Rent,200000
396,44837219,Flat,"Gadap Town, Karachi, Sindh",2,2,83,For Rent,18000
600,44518343,Flat,"Garden East, Jamshed Town, Karachi, Sindh",4,4,200,For Sale,36000000
472,45139715,House,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,200,For Sale,18500000
70,42700837,Flat,"Cantt, Karachi, Sindh",4,4,367,For Rent,100000
599,43719889,House,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar, Karachi, Sindh",8,8,450,For Sale,68500000
