,propertyid,location,bedroom,bathroom,area ( Sq. Yd.),price,Flat,House,Lower Portion,Room,Upper Portion,For Purchase,For Rent,For Sale,address
240,44541563,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",2,2,111,60000,True,False,False,False,False,False,True,False,149
241,44548538,"Emaar Coral Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,311,170000,True,False,False,False,False,False,True,False,203
242,44548915,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,243,170000,True,False,False,False,False,False,True,False,206
243,44550856,"Clifton - Block 2, Clifton, Karachi, Sindh",3,3,272,150000,True,False,False,False,False,False,True,False,160
244,44554058,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,649,625000,False,True,False,False,False,False,True,False,181
245,44556212,"Tariq Road, Karachi, Sindh",3,4,194,135000,True,False,False,False,False,False,True,False,381
246,44559457,"Korangi Creek Cantonment, Korangi, Karachi, Sindh",3,2,120,27000,True,False,False,False,False,False,True,False,290
247,44559917,"North Nazimabad - Block N, North Nazimabad, Karachi, Sindh",5,6,450,200000,False,True,False,False,False,False,True,False,324
248,44576727,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",2,2,100,60000,False,False,False,False,True,False,True,False,328
249,44576786,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",5,5,250,250000,False,True,False,False,False,False,True,False,328
250,44581029,"Emaar Coral Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,2,167,150000,True,False,False,False,False,False,True,False,203
251,44588188,"DHA Phase 6, DHA Defence, Karachi, Sindh",3,3,500,130000,False,False,False,False,True,False,True,False,181
252,44589822,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,200,110000,False,True,False,False,False,False,True,False,251
253,44597374,"Emaar Coral Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,3,182,140000,True,False,False,False,False,False,True,False,203
254,44601948,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",3,3,139,60000,True,False,False,False,False,False,True,False,328
255,44602120,"Rahat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",3,3,194,80000,True,False,False,False,False,False,True,False,348
256,44607242,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,240,80000,False,False,False,False,True,False,True,False,253
257,44614792,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,122,28000,True,False,False,False,False,False,True,False,116
258,44615002,"DHA Phase 6, DHA Defence, Karachi, Sindh",0,1,56,55000,True,False,False,False,False,False,True,False,181
259,44617401,"Sea View Apartments, Karachi, Sindh",3,3,333,190000,True,False,False,False,False,False,True,False,367
260,44617947,"DHA Phase 6, DHA Defence, Karachi, Sindh",2,2,50,70000,True,False,False,False,False,False,True,False,181
261,44618119,"DHA Phase 6, DHA Defence, Karachi, Sindh",7,6,500,550000,False,True,False,False,False,False,True,False,181
262,44619859,"Bath Island, Karachi, Sindh",3,3,206,170000,True,False,False,False,False,False,True,False,134
263,44624892,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,167,48000,True,False,False,False,False,False,True,False,251
264,44629813,"Saima Jinnah Avenue, Malir, Karachi, Sindh",3,4,244,76000,True,False,False,False,False,False,True,False,364
265,44635153,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",0,0,250,125000,False,False,False,False,True,False,True,False,258
266,44636157,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,6,1000,200000,False,False,False,False,True,False,True,False,185
267,44637137,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,1000,450000,False,True,False,False,False,False,True,False,181
268,44639892,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,140,45000,False,False,False,False,True,False,True,False,257
269,44641564,"North Karachi - Sector 7-D1, North Karachi, Karachi, Sindh",2,2,120,19000,False,False,False,False,True,False,True,False,319
270,44643278,"DHA Phase 5, DHA Defence, Karachi, Sindh",8,6,1000,375000,False,True,False,False,False,False,True,False,180
271,44643470,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500,350000,False,True,False,False,False,False,True,False,185
272,44643552,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500,550000,False,True,False,False,False,False,True,False,181
273,44650890,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",3,3,200,38000,False,True,False,False,False,False,True,False,123
274,44651147,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,200,35000,False,True,False,False,False,False,True,False,126
275,44655636,"Saima Jinnah Avenue, Malir, Karachi, Sindh",3,4,244,76000,True,False,False,False,False,False,True,False,364
