10000,25000,50000,100000,250000,500000,1000000,2000000,4500000,1500000,2500000,5000000,10000000,25000000,50000000,100000000,200000000,500000000
8000,22000,48000,90000,235000,450000,900000,1750000,3800000,1375000,2250000,4850000,9750000,21500000,47500000,95000000,190000000,475000000
8000,22000,48000,95000,245000,475000,980000,1900000,4300000,1400000,2400000,4500000,9750000,23500000,48500000,97500000,190000000,450000000
9000,24000,45000,90000,245000,450000,980000,1900000,4300000,1300000,2000000,4000000,9000000,18000000,47500000,99000000,195000000,400000000
9000,24000,48000,95000,245000,475000,980000,1900000,4300000,1400000,2400000,4500000,9750000,23500000,47500000,97500000,190000000,475000000
9000,22000,45000,95000,235000,450000,980000,1900000,4300000,1375000,2250000,4500000,9500000,23500000,48500000,95000000,185000000,450000000
9000,22000,45000,90000,245000,475000,980000,2000000,4300000,1400000,2500000,4850000,9750000,23500000,48500000,97500000,190000000,450000000
7500,22000,45000,85000,220000,450000,950000,1900000,4300000,1375000,2250000,4850000,9750000,23500000,48500000,95000000,195000000,475000000
9000,24000,48000,95000,245000,475000,980000,1900000,4300000,1375000,2250000,4500000,9500000,23500000,48500000,99000000,195000000,475000000
9500,24000,48000,95000,240000,475000,900000,1900000,4300000,1400000,2400000,4500000,9750000,23500000,47500000,97500000,195000000,475000000
9500,24000,48000,100000,250000,500000,980000,2000000,4500000,1500000,2500000,5000000,10000000,25000000,50000000,100000000,200000000,500000000
